source_line,answer_words,soru,cevap
9446,5,Anayasanın 35. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9448,4,Anayasanın 35. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9451,5,Anayasanın 36. Maddesi Hangi Konuyu Ele Alır?,Hak arama hürriyetini ele alır.
9452,2,Hak Arama Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?,36. maddede.
9453,5,Anayasanın 36. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9455,4,Anayasanın 36. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9458,5,Anayasanın 37. Maddesi Hangi Konuyu Ele Alır?,Kanuni hâkim güvencesini ele alır.
9460,5,Anayasanın 37. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9462,4,Anayasanın 37. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9466,2,İşkence ve Eziyet Yasağı Hangi Anayasa Maddesinde Belirtilmiştir?,38. maddede.
9467,4,Anayasanın 38. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9469,5,Anayasanın 38. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9474,2,Suç ve Cezalara İlişkin İlkeler Hangi Anayasa Maddesinde Belirtilmiştir?,39. maddede.
9475,4,Anayasanın 39. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9477,5,Anayasanın 39. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9480,5,Anayasanın 40. Maddesi Hangi Konuyu Ele Alır?,Hak arama hürriyetini ele alır.
9481,4,Anayasanın 40. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9483,5,Anayasanın 40. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9485,4,Anayasanın 40. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9488,2,Ailenin Korunması Hangi Anayasa Maddesinde Belirtilmiştir?,41. maddede.
9489,4,Anayasanın 41. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9491,5,Anayasanın 41. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9493,4,Anayasanın 41. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9497,2,Eğitim ve Öğrenim Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,42. maddede.
9498,4,Anayasanın 42. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9500,5,Anayasanın 42. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9502,4,Anayasanın 42. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9506,2,Kıyıların Korunması Hangi Anayasa Maddesinde Belirtilmiştir?,43. maddede.
9507,4,Anayasanın 43. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9509,5,Anayasanın 43. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9511,4,Anayasanın 43. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9515,2,Toprak Mülkiyeti Hangi Anayasa Maddesinde Belirtilmiştir?,44. maddede.
9516,4,Anayasanın 44. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9517,5,Anayasanın 44. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9519,4,Anayasanın 44. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9522,5,Anayasanın 45. Maddesi Hangi Konuyu Ele Alır?,Tarım arazilerinin korunmasını ele alır.
9523,2,Tarım Arazilerinin Korunması Hangi Anayasa Maddesinde Belirtilmiştir?,45. maddede.
9524,4,Anayasanın 45. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9526,5,Anayasanın 45. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9530,4,Anayasanın 46. Maddesi Hangi Konuyu Ele Alır?,Kamulaştırma yetkisini ele alır.
9531,2,Kamulaştırma Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,46. maddede.
9532,4,Anayasanın 46. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9534,5,Anayasanın 46. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9535,4,Anayasanın 46. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9538,4,Anayasanın 47. Maddesi Hangi Konuyu Ele Alır?,Devletleştirme yetkisini ele alır.
9539,2,Devletleştirme Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,47. maddede.
9540,4,Anayasanın 47. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9542,5,Anayasanın 47. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9544,4,Anayasanın 47. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9548,2,Çalışma ve Sözleşme Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?,48. maddede.
9550,5,Anayasanın 48. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9552,4,Anayasanın 48. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9556,2,Çalışma Hakkı ve Ödevi Hangi Anayasa Maddesinde Belirtilmiştir?,49. maddede.
9557,4,Anayasanın 49. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9559,5,Anayasanın 49. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9561,4,Anayasanın 49. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9564,2,Çalışma Şartları ve Dinlenme Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,50. maddede.
9565,4,Anayasanın 50. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9567,5,Anayasanın 50. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9569,4,Anayasanın 50. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9572,5,Anayasanın 51. Maddesi Hangi Konuyu Ele Alır?,Sendika kurma hakkını ele alır.
9573,4,Anayasanın 51. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9574,5,Anayasanın 51. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9578,5,Anayasanın 52. Maddesi Hangi Konuyu Ele Alır?,Sendikaların faaliyet özgürlüğünü ele alır.
9579,2,Sendikaların Faaliyet Özgürlüğü Hangi Anayasa Maddesinde Belirtilmiştir?,52. maddede.
9580,4,Anayasanın 52. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9582,5,Anayasanın 52. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9584,4,Anayasanın 52. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9588,2,Toplu İş Sözleşmesi Yapma Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,53. maddede.
9589,4,Anayasanın 53. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9591,5,Anayasanın 53. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9595,4,Anayasanın 54. Maddesi Hangi Konuyu Ele Alır?,Grev hakkını ele alır.
9596,2,Grev Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,54. maddede.
9597,4,Anayasanın 54. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9599,5,Anayasanın 54. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9601,4,Anayasanın 54. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9604,2,Ücret ve Adaletli Çalışma Koşulları Hangi Anayasa Maddesinde Belirtilmiştir?,55. maddede.
9606,5,Anayasanın 55. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9607,4,Anayasanın 55. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9611,2,Sağlık ve Çevre Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,56. maddede.
9612,4,Anayasanın 56. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9615,4,Anayasanın 56. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9618,2,Konut Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,57. maddede.
9619,4,Anayasanın 57. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9621,5,Anayasanın 57. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9623,4,Anayasanın 57. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9627,2,Gençlerin Korunması Hangi Anayasa Maddesinde Belirtilmiştir?,58. maddede.
9628,4,Anayasanın 58. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9630,5,Anayasanın 58. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9635,2,Sporun Teşviki Hangi Anayasa Maddesinde Belirtilmiştir?,59. maddede.
9636,4,Anayasanın 59. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9638,5,Anayasanın 59. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9640,4,Anayasanın 59. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9642,5,Anayasanın 60. Maddesi Hangi Konuyu Ele Alır?,Sosyal güvenlik hakkını ele alır.
9643,2,Sosyal Güvenlik Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,60. maddede.
9644,4,Anayasanın 60. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9646,5,Anayasanın 60. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9648,4,Anayasanın 60. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9652,4,Anayasanın 61. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9654,5,Anayasanın 61. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9656,4,Anayasanın 61. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9659,2,Yurt Dışındaki Türk Vatandaşlarının Korunması Hangi Anayasa Maddesinde Belirtilmiştir?,62. maddede.
9660,4,Anayasanın 62. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9662,5,Anayasanın 62. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9664,4,Anayasanın 62. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9668,4,Anayasanın 63. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9671,4,Anayasanın 63. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9675,2,Sanat Faaliyetleri ve Sanatçının Korunması Hangi Anayasa Maddesinde Belirtilmiştir?,64. maddede.
9677,5,Anayasanın 64. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9679,4,Anayasanın 64. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9683,2,Sosyal ve Ekonomik Görevlerin Yerine Getirilmesi Hangi Anayasa Maddesinde Belirtilmiştir?,65. maddede.
9684,4,Anayasanın 65. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9686,5,Anayasanın 65. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9688,4,Anayasanın 65. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9691,4,Anayasanın 66. Maddesi Hangi Konuyu Ele Alır?,Türk vatandaşlığını ele alır.
9692,2,Türk Vatandaşlığı Hangi Anayasa Maddesinde Belirtilmiştir?,66. maddede.
9693,4,Anayasanın 66. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9695,5,Anayasanın 66. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9699,2,"Seçme, Seçilme ve Siyasî Faaliyet Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?",67. maddede.
9700,4,Anayasanın 67. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9703,4,Anayasanın 67. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9707,2,Siyasi Parti Kurma ve Siyasi Partilere Katılma Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,68. maddede.
9709,5,Anayasanın 68. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9711,4,Anayasanın 68. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9714,5,Anayasanın 69. Maddesi Hangi Konuyu Ele Alır?,Siyasi partilerin faaliyetlerini ele alır.
9715,2,Siyasi Partilerin Faaliyetleri Hangi Anayasa Maddesinde Belirtilmiştir?,69. maddede.
9717,5,Anayasanın 69. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9719,4,Anayasanın 69. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9722,2,Kamu Hizmetine Girme Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,70. maddede.
9723,4,Anayasanın 70. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9725,5,Anayasanın 70. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9727,4,Anayasanın 70. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9731,2,Devlet Memurlarının Sorumlulukları Hangi Anayasa Maddesinde Belirtilmiştir?,71. maddede.
9732,4,Anayasanın 71. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9733,5,Anayasanın 71. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9735,4,Anayasanın 71. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9739,2,Vatan Hizmeti Hakkı ve Ödevi Hangi Anayasa Maddesinde Belirtilmiştir?,72. maddede.
9740,4,Anayasanın 72. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9742,5,Anayasanın 72. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9744,4,Anayasanın 72. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9747,5,Anayasanın 73. Maddesi Hangi Konuyu Ele Alır?,Vergi ödeme yükümlülüğünü ele alır.
9748,2,Vergi Ödeme Yükümlülüğü Hangi Anayasa Maddesinde Belirtilmiştir?,73. maddede.
9749,4,Anayasanın 73. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9752,4,Anayasanın 73. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9755,4,Anayasanın 74. Maddesi Hangi Konuyu Ele Alır?,Dilekçe hakkını ele alır.
9756,2,Dilekçe Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,74. maddede.
9757,4,Anayasanın 74. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9759,5,Anayasanın 74. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9761,4,Anayasanın 74. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9765,2,Türkiye Büyük Millet Meclisinin Yapısı Hangi Anayasa Maddesinde Belirtilmiştir?,75. maddede.
9766,4,Anayasanın 75. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9769,4,Anayasanın 75. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9772,5,Anayasanın 76. Maddesi Hangi Konuyu Ele Alır?,Milletvekili seçilme yeterliliğini ele alır.
9773,2,Milletvekili Seçilme Yeterliliği Hangi Anayasa Maddesinde Belirtilmiştir?,76. maddede.
9774,4,Anayasanın 76. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9777,4,Anayasanın 76. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9779,5,Anayasanın 77. Maddesi Hangi Konuyu Ele Alır?,TBMM seçimlerinin süresini ele alır.
9780,2,TBMM Seçimlerinin Süresi Hangi Anayasa Maddesinde Belirtilmiştir?,77. maddede.
9781,4,Anayasanın 77. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9783,5,Anayasanın 77. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9785,4,Anayasanın 77. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9788,5,Anayasanın 78. Maddesi Hangi Konuyu Ele Alır?,Seçimlerin ertelenmesi konusunu ele alır.
9789,2,Seçimlerin Ertelenmesi Hangi Anayasa Maddesinde Belirtilmiştir?,78. maddede.
9790,4,Anayasanın 78. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9792,5,Anayasanın 78. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9794,4,Anayasanın 78. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9797,2,Seçimlerin Yargı Organlarının Denetiminde Yapılması Hangi Anayasa Maddesinde Belirtilmiştir?,79. maddede.
9798,4,Anayasanın 79. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9800,4,Anayasanın 79. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9804,2,TBMM Üyelerinin Temsil Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,80. maddede.
9805,4,Anayasanın 80. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9807,5,Anayasanın 80. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9809,4,Anayasanın 80. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9813,2,TBMM Üyelerinin Yemin Etme Zorunluluğu Hangi Anayasa Maddesinde Belirtilmiştir?,81. maddede.
9814,4,Anayasanın 81. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9816,5,Anayasanın 81. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9818,4,Anayasanın 81. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9821,2,TBMM Üyelerinin Birden Fazla Görev ve İş Yapamama Kuralı Hangi Anayasa Maddesinde Belirtilmiştir?,82. maddede.
9822,4,Anayasanın 82. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9825,4,Anayasanın 82. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9828,5,Anayasanın 83. Maddesi Hangi Konuyu Ele Alır?,TBMM üyelerinin dokunulmazlıklarını ele alır.
9829,2,TBMM Üyelerinin Dokunulmazlıkları Hangi Anayasa Maddesinde Belirtilmiştir?,83. maddede.
9830,4,Anayasanın 83. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9832,5,Anayasanın 83. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9834,4,Anayasanın 83. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9838,2,Milletvekilliğinin Düşme Sebepleri ve Süreçleri Hangi Anayasa Maddesinde Belirtilmiştir?,84. maddede.
9839,4,Anayasanın 84. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9840,4,Anayasanın 84. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9843,5,Anayasanın 85. Maddesi Hangi Konuyu Ele Alır?,Milletvekillerinin dokunulmazlığının kaldırılmasını ele alır.
9844,2,Milletvekillerinin Dokunulmazlığının Kaldırılması Hangi Anayasa Maddesinde Belirtilmiştir?,85. maddede.
9845,4,Anayasanın 85. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9847,5,Anayasanın 85. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9849,4,Anayasanın 85. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9852,2,TBMM Üyelerinin Ödenek ve Yollukları Hangi Anayasa Maddesinde Belirtilmiştir?,86. maddede.
9853,4,Anayasanın 86. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9855,5,Anayasanın 86. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9857,4,Anayasanın 86. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9860,2,TBMM'nin Görev ve Yetkileri Hangi Anayasa Maddesinde Belirtilmiştir?,87. maddede.
9861,4,Anayasanın 87. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9863,5,Anayasanın 87. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9865,4,Anayasanın 87. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9869,2,Kanun Teklif Etme Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,88. maddede.
9872,4,Anayasanın 88. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9876,2,Cumhurbaşkanının Kanun Yayımlama Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,89. maddede.
9877,4,Anayasanın 89. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9879,5,Anayasanın 89. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9881,4,Anayasanın 89. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9882,5,Anayasanın 90. Maddesi Hangi Konuyu Ele Alır?,Milletlerarası antlaşmaların onaylanmasını ele alır.
9883,2,Milletlerarası Antlaşmaların Onaylanması Hangi Anayasa Maddesinde Belirtilmiştir?,90. maddede.
9884,4,Anayasanın 90. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9886,5,Anayasanın 90. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9888,4,Anayasanın 90. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9889,2,Kanun Hükmünde Kararname Çıkarma Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,91. maddede.
9890,4,Anayasanın 91. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9891,5,Anayasanın 91. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9893,4,Anayasanın 91. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9896,5,Anayasanın 92. Maddesi Hangi Konuyu Ele Alır?,Milletlerarası antlaşmaların onaylanmasını ele alır.
9897,4,Anayasanın 92. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9899,5,Anayasanın 92. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9901,4,Anayasanın 92. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9904,5,Anayasanın 93. Maddesi Hangi Konuyu Ele Alır?,TBMM'nin toplanma zamanını ele alır.
9905,2,TBMM'nin Toplanma Zamanı Hangi Anayasa Maddesinde Belirtilmiştir?,93. maddede.
9906,4,Anayasanın 93. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9908,5,Anayasanın 93. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
